Wed, 07 Jun 17 16:45:47 -0500 > mercurio33/aprobar > Message => Transacción abortada
Thu, 08 Jun 17 14:43:49 -0500 > mercurio34/aprobar > Message => El beneficiario se encuentra afiliado como trabajador
Thu, 08 Jun 17 16:10:46 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Thu, 08 Jun 17 16:55:51 -0500 > mercurio34/aprobar > Message => El beneficiario se encuentra afiliado como trabajador
Thu, 08 Jun 17 17:06:15 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Thu, 08 Jun 17 19:01:52 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Fri, 09 Jun 17 11:16:39 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Fri, 09 Jun 17 11:18:00 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Fri, 09 Jun 17 17:47:36 -0500 > mercurio34/aprobar > Message => El beneficiario se encuentra afiliado como trabajador
Sat, 10 Jun 17 14:57:51 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 14:58:10 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:08:17 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:10:02 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Sat, 10 Jun 17 15:10:14 -0500 > mercurio34/aprobar > Message => El beneficiario tiene dos relaciones activas
Sat, 10 Jun 17 15:18:15 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:18:28 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:18:39 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:41:43 -0500 > mercurio34/aprobar > Message => El beneficiario se encuentra afiliado como trabajador
Sat, 10 Jun 17 15:44:33 -0500 > mercurio34/aprobar > Message => Error webservice
Sat, 10 Jun 17 15:46:37 -0500 > mercurio34/aprobar > Message => Error webservice
